"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Wed Jun 12 00:37:09 GMT+01:00 2024","Wed Jun 12 00:37:19 GMT+01:00 2024","10454","Suite","Test","sauceTest.LoginPageTest","sauceTest.LoginPageTest","loginTest","loginTest",""
"broken","Wed Jun 12 16:42:00 GMT+01:00 2024","Wed Jun 12 16:42:11 GMT+01:00 2024","10743","Suite","Test","sauceTest.LoginPageTest","sauceTest.LoginPageTest","loginTest","loginTest",""
"broken","Sun Jun 09 02:11:49 GMT+01:00 2024","Sun Jun 09 02:11:49 GMT+01:00 2024","5","Suite","Test","sauceTest.LoginPageTest","sauceTest.LoginPageTest","setUp","setUp",""
"passed","Wed Jun 12 16:42:16 GMT+01:00 2024","Wed Jun 12 16:42:21 GMT+01:00 2024","5275","Suite","Test","sauceTest.LoginPageTest","sauceTest.LoginPageTest","loginTest","loginTest",""
"passed","Wed Jun 12 16:42:25 GMT+01:00 2024","Wed Jun 12 16:42:26 GMT+01:00 2024","295","Suite","Test","sauceTest.LoginPageTest","sauceTest.LoginPageTest","loginTest","loginTest",""
"passed","Wed Jun 12 16:42:13 GMT+01:00 2024","Wed Jun 12 16:42:14 GMT+01:00 2024","245","Suite","Test","sauceTest.LoginPageTest","sauceTest.LoginPageTest","loginTest","loginTest",""
"broken","Wed Jun 12 00:42:12 GMT+01:00 2024","Wed Jun 12 00:42:12 GMT+01:00 2024","2","Suite","Test","sauceTest.LoginPageTest","sauceTest.LoginPageTest","loginTest","loginTest",""
"broken","Wed Jun 12 01:35:42 GMT+01:00 2024","Wed Jun 12 01:35:52 GMT+01:00 2024","10415","Suite","Test","sauceTest.LoginPageTest","sauceTest.LoginPageTest","loginTest","loginTest",""
"passed","Wed Jun 12 16:41:58 GMT+01:00 2024","Wed Jun 12 16:41:58 GMT+01:00 2024","292","Suite","Test","sauceTest.LoginPageTest","sauceTest.LoginPageTest","loginTest","loginTest",""
"passed","Wed Jun 12 16:42:23 GMT+01:00 2024","Wed Jun 12 16:42:23 GMT+01:00 2024","267","Suite","Test","sauceTest.LoginPageTest","sauceTest.LoginPageTest","loginTest","loginTest",""
